Series,Movie,Critic Review,Compound,Negative,Neutral,Positive
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Filmmakers have tried for decades, but they can't make a better space saga. It's the perfect stand-alone science fiction film that's only rivaled by its darker sequel.",0.448,0.097,0.746,0.157
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"George Lucas, who brought us those memorable kids in American Graffiti, is back with Star Wars -- a film that would captivate the Mel's Drive-In crowd as well as enchant the kid in all of us.",-0.3612,0.093,0.853,0.054
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It's a throwback to that more innocent kind of film, where you know who's good and who's bad, where you boo the villain and cheer the hero...The movie makes fun of those clichés, but director George Lucas must love them too, because he makes them work.",0.8536,0.081,0.673,0.246
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Star Wars is not a film to be written about, it's an experience. It's that rare experience for both adults and kids that shortchanges neither. Go -- and enjoy.",-0.1027,0.11,0.793,0.098
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,The special effects and technical achievement are the greatest ever. Lucas and company have created an unusual and diverse universe and put it before our eyes.Not once is there a feeling of unnaturalness or fakery.,0.8555,0.0,0.743,0.257
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"The film was made with obvious relish by everyone involved, and it guarantees a mindlessly happy two hours to all who take the time to see it.",0.5719,0.0,0.871,0.129
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Proves anew that ticket-buyers young and old in this jaded era will still respond to a strong and simple story about good versus evil with the good guys winning.,0.6249,0.177,0.525,0.298
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Lucas's ingenuity is reaffirmed by Darth Vader's every asthmatic exhalation, by Princess Leia's cinnamon-bun chignons.",0.0,0.0,1.0,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"If anybody wondered where Lucas has been since the release nearly four years ago of American Graffiti, the answer is at hand. Star Wars... is the most exciting picture to be released this year -- exciting as theater and exciting as cinema.",0.9284,0.0,0.735,0.265
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"A gigantic, lavish, brilliantly executive old-time movie comic strip.",0.6124,0.0,0.636,0.364
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"[Star Wars] will undoubtedly emerge as one of the true classics in the genre of science fiction/fantasy films. In any event, it will be thrilling audiences of all ages for a long time to come.",0.7096,0.0,0.844,0.156
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It is the best such film since 2001, and in certain respects it is one of the most exciting ever made.",0.902,0.0,0.584,0.416
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It is competently if not brilliantly mounted, moderately exciting and charmingly capable of poking fun at itself... It's a lot less patronising than most Disney films and toweringly better than the other blockbusters around at the moment.",0.8996,0.067,0.62,0.314
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Enormous and exhilarating fun for those who are prepared to settle down in their seats and let it all wash over them.,0.7845,0.0,0.706,0.294
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"George Lucas's science fiction adventure is an exhilarating update of Flash Gordon, very much in the same half-jokey, half-earnest mood, but backed by special effects that, for once, really work and are intelligently integrated with the story.",0.8807,0.0,0.724,0.276
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Heavy SF readers will recognize each character, every situation by its stock number and almost feel the affection Lucas has for them. There is not the tiniest sniff of cynicism anywhere in this film.",0.1868,0.071,0.813,0.116
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"The view of outer space is a marvelous one, awe-inspiring in its beauty, and the artists and designers who did the work... deserve as many plaudits as can be thought up.",0.8271,0.0,0.784,0.216
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,A mind-blowing spectacle that sends the audience off onto the wondrously strange world of fantasy and satisfies just about everyone's adolescent craving for a corny old-fashioned adventure movie.,0.5106,0.06,0.769,0.171
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Endlessly imitated but never rivalled, this opening instalment of George Lucas's original space trilogy dresses up the timeless tale of good versus evil with ground-breaking special effects and a dazzling array of intergalactic characters.",0.5023,0.134,0.638,0.228
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Some of Lucas' scriptwriting is clever, a hip updating of the stilted language of the old Flash Gordon serials. Also, the film is dotted with weird-looking creatures who might have stepped out of the pages of a Marvel comic book.",0.7003,0.0,0.861,0.139
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"There's no breather in the picture, no lyricism; the only attempt at beauty is in the double sunset.",0.1027,0.19,0.647,0.164
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"George Lucas, who made American Graffiti, has put together a sci-fi film that draws on any number of associations. Star Wars is both amazing and familiar.",0.128,0.117,0.717,0.166
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"All in all, it is an outrageously successful, what will be called a ""classic,"" compilation of nonsense, largely derived but thoroughly reconditioned.",-0.0129,0.145,0.755,0.101
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Sci-fi action classic perfect for sharing with older kids.,0.7579,0.0,0.519,0.481
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Star Wars will do very nicely for those lucky enough to be children or unlucky enough never to have grown up.,0.3384,0.13,0.652,0.217
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Like it or not, Star Wars is a seminal movie that began a whole cycle of sci-fi works and also launched the careers of many actors and craftsmen.",0.7117,0.0,0.769,0.231
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"First of a sci-fi phenomenon, #4 in the series.",0.0,0.0,1.0,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"This friendliness is the key emotion in this clean, clever, entertaining movie by a gifted and developing artist. It's a feeling that crackles in the sensational special effects.",0.9352,0.0,0.552,0.448
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It is a sweeping epic with classical themes lifted from the teachings of Joseph Campbell, but it maintains strong central characters.",0.6652,0.0,0.81,0.19
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"After Star Wars, movies not only spawned profitable kids' toys; they merged with kids' toys, and basically became toys themselves.",-0.7189,0.25,0.75,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It has shaped our imaginations, our inner worlds. The series may be over at last, but the Force will be with us always.",0.0,0.0,1.0,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"A grand and glorious film that may well be the smash hit of 1977, and certainly is the best movie of the year so far.",0.9423,0.0,0.544,0.456
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,On the basic level of simple entertainment it succeeds as well as any film ever has.,0.7964,0.0,0.616,0.384
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"So, is this the best film of all time? Certainly not. But it definitely is one of the most enduring, and it's hard not to be seduced.",0.7229,0.106,0.64,0.253
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"A magnificent film. George Lucas set out to make the biggest possible adventure fantasy out of his memories of serials and older action epics, and he succeeded brilliantly.",0.9186,0.0,0.639,0.361
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Star Wars is enchanting in the most literal sense of the word. It's pure comic strip fantasy, to be enjoyed even more by nostalgic adults than by wide-eyed youngsters.",-0.0772,0.106,0.796,0.097
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Easily the best movie in town this summer and perhaps destined to be the best of 1977.,0.8957,0.0,0.565,0.435
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Has distinct limitations, but the current return to a cinema of spectacle and wonder is wholly encouraging.",0.6808,0.0,0.765,0.235
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Puts most recent 'epic' blockbuster mediocrities to shame.,0.2648,0.234,0.452,0.314
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,One of those few films that you can expect to find in almost anyone's collection.,0.0,0.0,1.0,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Lucas' trilogy earned its place in eternity not for its mechanical precision, but for its intangible qualities of inspiration and wonder.",0.6808,0.0,0.813,0.187
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,...the key to the movie's success is its creation of a family of characters we can love and believe in.,0.875,0.0,0.615,0.385
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"The movie, modeled after old-fashioned Westerns and Joseph Campbell's writings about mythology, also has a sweet innocence.",0.6808,0.0,0.714,0.286
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,The special effects wizardry seen in Star Wars is put in aid of a pure 1930s space opera pulp story . . .,-0.2263,0.155,0.73,0.116
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Those of us who were old enough to catch the film as kids the first time around may even find an unexpected lump in their throats as the nostalgia gates bust wide open and Vader gets his, once again, on that giant, silver screen.",0.0,0.0,1.0,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"What's fascinating from a cinematic point of view is the magnificently derivative nature of the film. It's an enormous summary of characters, styles, and plot points that surveys 40 years of film history.",0.836,0.0,0.792,0.208
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Gloriously directed by George Lucas, this mind-bending space fantasy incorporates Flash Gordon, 2001, Planet of the Apes and 20,000 Leagues Under the Sea and tops them with enough ingenious special effects.",0.872,0.0,0.739,0.261
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Like many people from my generation, Star Wars is not just a favorite film, but an almost spiritual experience from childhood.",-0.316,0.177,0.746,0.077
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It works, because it is now what it was then: a triumph of the imagination.",0.4767,0.0,0.807,0.193
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"I can't deny that this is one of the most important and influential movies ever made, and there is more fun stuff in this film than in most.",0.8716,0.0,0.679,0.321
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"a lot of fun, but not a movie that particularly rewards repeated watchings... once every 20 years or so isn't too often.",0.7743,0.0,0.728,0.272
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It is, all in all, hard to think of a place or an age group that would not respond to the enthusiastic inventiveness with which Lucas has enshrined his early loves.",0.7579,0.04,0.765,0.195
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,This film was a cultural turning point and continues to be.,0.0,0.0,1.0,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Despite being over-hyped, over-marketed, and fairly flawed, Star Wars remains one of the most memorable and glorious fantasies ever made.",0.2177,0.138,0.691,0.171
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"a communal experience, best seen on the big screen with a large group of enthusiastic people",0.8126,0.0,0.619,0.381
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"[Star Wars] is the most elaborate, most expensive, most beautiful movie serial ever made.",0.6659,0.0,0.745,0.255
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Like some indefatigable King of the Hill, it stands alone and triumphant, regardless of the many imitators that assail its position.",0.5994,0.077,0.695,0.228
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"If you want to see the movie that made mild diversion for ten-year-old boys the model of commercial filmmaking, ruling out nuanced characterization and emotions that last longer than 20 seconds, this is where to look.",0.0772,0.0,0.964,0.036
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Lucas fills his screen with loving touches... Seeing the film the first time, I was swept away, and have remained swept ever since.",0.5994,0.0,0.843,0.157
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"A dynamic entertainment, efficiently and exuberantly setting up its mythic tale of heroes and villains, rebels and rogues, princesses and monsters, good and evil.",0.4019,0.266,0.376,0.358
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Backgrounds in some sequences are now more populated than they were, and it's fun to see all the creatures that make up the ""wretched hive of scum and villainy"" that Alec Guinness' Obi-Wan Kenobi describes.",-0.0772,0.09,0.827,0.083
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,The spirit of Buck Rogers lives on as writer-director George Lucas continues to pay homage to that gentleman of the 25th Century in a wow of a sci-fi film.,0.6249,0.045,0.777,0.178
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,George Lucas has made the kind of sci-fi adventure movie you dream about finding.,0.5106,0.0,0.736,0.264
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,That '70s schmaltz is innocent and pure--and seemed better untainted by modernization.,0.6486,0.0,0.654,0.346
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Star Wars remains a cinematic benchmark and a greater fantasy than its countless imitators of the past 20 years.,-0.2732,0.171,0.711,0.118
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,It speaks to the child in all of us!,0.0,0.0,1.0,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Watching Star Wars again with full knowledge of all that will happen lends some new meaning.,-0.5574,0.194,0.806,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,A classic American tale!,0.0,0.0,1.0,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,A grandiose and violent epic with a simple and whimsical heart.,-0.5574,0.32,0.574,0.107
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,This is the phenomenon that saved 20th Century Fox.,0.4215,0.0,0.741,0.259
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"With its naive romanticism, its simple fable of youthful innocence triumphing over evil, its look back at classic narrative mythology, Star Wars is an exhilarating ride into cinematic fantasy, unlike anything that the cinema has made since.",0.4588,0.19,0.545,0.265
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"There isn't an adventure film to match it in terms of archetypal characters, gripping plot and fantastic film ""world"".",0.3895,0.087,0.753,0.16
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,I was and still am fascinated by the hinted at but never fully developed chemistry between Luke and Princess Leia.,0.2617,0.0,0.898,0.102
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Star Wars (1977), (aka Star Wars - Episode IV: A New Hope) is one of the most popular, profitable, entertaining, and successful science fiction/action - adventure films",0.8092,0.181,0.428,0.391
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Twenty years later, George Lucas' loved saga of the war between good and evil in a distant galaxy returns in digitally enhanced and augmented form.",-0.3612,0.236,0.57,0.194
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"A combination of past and future, Western and space odyssey, myth and dream world, Star Wars may be the most enduring piece of escapism ever put on film.",-0.3818,0.118,0.817,0.065
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"All in all, this movie is a classic.",0.0,0.0,1.0,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"The wild ride that helped change the face of modern moviegoing, and is every bit as entertaining today as it was 20 years ago.",0.4404,0.0,0.888,0.112
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,A pop-culture landmark!,0.1511,0.0,0.386,0.614
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,It's easy to see why Star Wars held such an appeal to the kids and adults of the late 1970s.,-0.1779,0.147,0.735,0.118
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Compelling backstory, exciting action and pleasantly archetypal characters.",0.802,0.0,0.379,0.621
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,George Lucas's legendary 1977 science-fiction epic still packs an entertaining punch.,0.4404,0.0,0.775,0.225
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,Darth Vader and his James Earl Jones voice is a bad egg no matter how much we know about his screwy upbringing.,-0.7906,0.309,0.649,0.042
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,A thrilling experience.,0.4767,0.0,0.244,0.756
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It is almost as if Lucas took recognizable characters from myth and legend and then emptied them of meaning so as not to distract his audience from his spectacular sets, monsters and special effects.",0.4382,0.046,0.831,0.123
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It's all very impressive, though I think I'd probably appreciate it a little more if I hadn't literally grown up on Star Wars and its sequels.",0.4005,0.12,0.669,0.211
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,This special edition re-release really drives home the differences between seeing a movie in the theater and seeing it on video.,0.4019,0.0,0.876,0.124
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"If it was candy for the eyes and the heart, it was heroin to the central nervous system.",-0.6486,0.249,0.751,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,About the dialogue there's nothing to be said. In fact the dialogue itself can hardly be said: it sticks in the actors' mouths like peanut butter.,0.3612,0.0,0.909,0.091
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Star Wars is a junkyard of cinematic gimcracks not unlike the Jawas' heap of purloined, discarded, barely functioning droids.",-0.7184,0.273,0.727,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It is my contention that the original Star Wars is, on its own, a good film and the best of its series.",0.7003,0.12,0.567,0.313
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"As much as it changed the people who watched movies, however, it changed the people who made movies even more.",0.0,0.0,1.0,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,[An] essential part of contemporary culture.,0.0,0.0,1.0,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Watching this movie will help you relive your childhood, or help make new memories with your own kids.",0.6597,0.0,0.748,0.252
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,This is a respectable sequel to Star Wars but not as good.,-0.536,0.352,0.521,0.127
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Topping the most successful act in show business history is an impossibility, of course. But that's the challenge facing everyone who worked on ""The Empire Strikes Back."" They have succeeded to an altogether remarkable extent.",0.8516,0.056,0.677,0.266
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The best 'Star Wars' film, an exciting and thrilling adventure, but also a sober and complex picture.",0.6249,0.106,0.507,0.387
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Has any movie sequel ever so thoroughly surpassed impossible expectations as The Empire Strikes Back?,-0.3612,0.152,0.848,0.0
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,...an erratically-paced yet consistently entertaining installment in a not-quite-great sci-fi series.,0.4404,0.0,0.756,0.244
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The Empire Strikes Back is no bland derivative. It has all the freshness and exuberance of an original. A marvellous space fantasy full of dazzling spectacle, exciting adventure, strange creatures and the mythic clash between good and evil.",-0.0516,0.215,0.573,0.211
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The Empire Strikes Back is the ultimate in fantasies, a visual wonder and a movie that should be recommended highly if only because it makes you feel good.",0.296,0.083,0.762,0.156
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Despite a couple of drawbacks, the Empire Strikes Back is an immense amount of fun -- big and splashy and breathtaking in its display of cinematic genius by a huge group of marvelously talented people.",0.8555,0.059,0.66,0.281
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"To answer the big question first: Yes, The Empire Strikes Back is just as enjoyable as Star Wars. In fact, this is one sequel that defies tradition by being better than the original on several counts -- most of them technical, but a few dramatic.",0.3291,0.082,0.768,0.15
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Another richly imaginative, engrossing and spectacular motion picture from the redoubtable George Lucas.",0.4404,0.0,0.805,0.195
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The Empire may not top Star Wars, but it certainly makes one look forward to whatever new surprises George Lucas and his band of cinematic wizards can conjure up for us.",0.7283,0.036,0.756,0.208
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"It is technically even more proficient [than Star Wars], has virtually the same ingredients and bursts forth into a world that still seems ripe for its special blend of nostalgically simple story-telling and complicated technology.",0.4019,0.0,0.924,0.076
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"It is hard to place one's affections anywhere in a world which is ruled by buttons and dials, computers and bleeps, and people whose conversation is... technical, inaudible or dull.",-0.1531,0.126,0.798,0.077
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The younger actors are now more confident.,0.5413,0.0,0.632,0.368
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"A spectacular piece of work that carries the new ""Star Wars"" tradition forward.",-0.5574,0.247,0.753,0.0
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,See it and prepare to be captivated by the most spellbinding sci-fi film of them all.,0.3818,0.0,0.852,0.148
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Director Irvin Kershner's imaginative supervision of George Lucas's brainchild gives this second part of the first Star Wars trilogy a truly epic dimension, adding a mature, philosophical aspect to the nonstop barrage of brilliant special effects.",0.8225,0.08,0.647,0.272
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"It's darker than the original, and perhaps less well structured, but it combines gorgeous visuals and surprisingly deep human emotions.",0.8848,0.0,0.585,0.415
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,It's not up to the original.,0.3182,0.0,0.685,0.315
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The best of the original series, but the most intense, too.",0.6297,0.0,0.566,0.434
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Continues to set the standards for sequels to this day...,0.0,0.0,1.0,0.0
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"In many ways the new film is a better film than Star Wars, visually more exciting, more artful and meticulous in detail.",0.4201,0.129,0.643,0.228
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Despite ... an unresolved storyline that paves the way for its dismal sequel, Empire remains in many ways the best (indeed the last good) Star Wars film.",-0.5267,0.212,0.67,0.117
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"A more mature instalment than its predecessor, loaded with spectacular special effects and efficiently written, this may well be the pinnacle of the saga.",0.8622,0.0,0.642,0.358
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The Empire Strikes Back is a worthy sequel to Star Wars, equal in both technical mastery and characterization, suffering only from the familiarity with the effects generated in the original and imitated too much by others.",-0.6124,0.207,0.676,0.117
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Each section of the film has a stand-out sequence that inspires hyperbole like 'best ever.',0.8625,0.0,0.534,0.466
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"Irvin Kershner directed the actors this time around, and without the benefit of Lucas's personal affection they seem stiffer, more clenched.",0.2311,0.1,0.764,0.137
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The most imaginative and emotionally connectable ""Star Wars"" film and, with the exception of ""Revenge of the Sith,"" also the darkest.",-0.8807,0.362,0.638,0.0
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The second act is very strong, cutting back and forth between Luke training with Yoda and Han, Leia, Chewie and C-3P0 fighting the Empire. And it's paced leisurely enough that you get to know the characters a little bit.",0.081,0.1,0.816,0.084
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"An extended ricochet from one incendiary set-piece battle to another which still finds time to attend to plot, pace and character.",-0.3818,0.115,0.885,0.0
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The best of the films.,0.6369,0.0,0.488,0.512
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Sci-fi cinema at its best.,0.6369,0.0,0.488,0.512
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,Everything you loved about A New Hope and more.,0.7783,0.0,0.469,0.531
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The backbone of the Star Wars saga… takes the story and themes of the first film into deeper waters.,-0.5574,0.167,0.833,0.0
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"...the deepest, darkest, most mature, and most thoughtful entry in the series.",0.4188,0.176,0.495,0.329
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The Empire Strikes Back is a total delight.,0.34,0.219,0.439,0.342
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"The best Star Wars movie, ever!",0.2244,0.298,0.331,0.371
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The film spends more time on its characters and unlike the previous film they aren't as busy with all kinds of swashbuckling adventures.,0.34,0.0,0.902,0.098
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,"A darker, richer, and more elaborate film than the original.",0.6908,0.0,0.551,0.449
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,The most interesting of the series,0.4576,0.0,0.626,0.374
Star Wars,STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,To see The Empire Strikes Back again on the big screen is a real treat and it brings to mind that cliché they don't make 'em like this anymore.,-0.2287,0.143,0.774,0.084
